"TimeStamp","User","App","Location","App context","Accessed Resources","Accessed Resource Locations","Action","AgentName"
"19-May-2026 13:19:06","parker.draper@contoso.com","Outlook",,"19:0ee5b146-5bbc-d54b-dadf-e5a8f49f04bc@thread.v2","","","",""
"19-May-2026 13:22:21","avery.underhill@contoso.com","Copilot for M365 Chat",,"19:c959a903-d859-cf8b-8d6b-2e4372ec3d4e@thread.v2","Expense Summary.xlsx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Expense Summary.xlsx","Read",""
"19-May-2026 13:52:45","finley.garrison@contoso.com","Word","SharePoint Online","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Policy Draft.docx","Policy Draft.docx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Policy Draft.docx","Read",""
"19-May-2026 14:01:03","rowan.lockwood@contoso.com","Outlook",,"19:4fb56207-9c93-42d9-ad59-11bb8381de0e@thread.v2","","","",""
"19-May-2026 14:29:10","skyler.sinclair@contoso.com","Excel","OneDrive for Business","https://contoso-my.sharepoint.com/personal/skyler_sinclair_contoso_com/Documents/Forecast.xlsx","Forecast.xlsx","https://contoso-my.sharepoint.com/personal/skyler_sinclair_contoso_com/Documents/Forecast.xlsx","Read",""
"19-May-2026 15:12:23","casey.calloway@contoso.com","Outlook",,"19:68b7184f-a3b5-8e15-9e52-6c55bd653685@thread.v2","","","",""
"19-May-2026 15:14:41","emery.northrop@contoso.com","Copilot for M365 Chat",,"19:e174cd74-b15d-b0f1-2b27-851990e866bd@thread.v2","Status Update.pptx","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Status Update.pptx","Read",""
"19-May-2026 15:17:14","taylor.thackeray@contoso.com","Copilot for M365 Chat",,"19:56d60e47-c0ad-4f3c-2aa7-205c9c571bb4@thread.v2","Policy Draft.docx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Policy Draft.docx","Read",""
"19-May-2026 15:27:03","skyler.ellison@contoso.com","Teams","Teams Chat","https://teams.microsoft.com/l/chat/19:e306ad51-c277-fdbe-b10e-c14f9e777b4f@unq.gbl.spaces?ctx=chat","","","",""
"19-May-2026 15:48:58","parker.northrop@contoso.com","Word","SharePoint Online","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Quarterly Review.docx","Quarterly Review.docx","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Quarterly Review.docx","Read",""
"19-May-2026 16:00:11","kendall.underhill@contoso.com","Word","OneDrive for Business","https://contoso-my.sharepoint.com/personal/kendall_underhill_contoso_com/Documents/Meeting Notes.docx","Meeting Notes.docx","https://contoso-my.sharepoint.com/personal/kendall_underhill_contoso_com/Documents/Meeting Notes.docx","Read",""
"19-May-2026 17:03:27","taylor.holloway@contoso.com","Copilot for M365 Chat",,"19:cacb108e-4f10-5b30-6990-f039386e9565@thread.v2","","","",""
"19-May-2026 17:11:49","reese.calloway@contoso.com","PowerPoint","SharePoint Online","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Town Hall.pptx","Town Hall.pptx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Town Hall.pptx","Read",""
"19-May-2026 19:51:32","parker.radcliffe@contoso.com","Teams","Teams Chat","https://teams.microsoft.com/l/chat/19:76449819-c587-26d3-2a9f-e7ceadfc46e4@unq.gbl.spaces?ctx=chat","","","",""
"19-May-2026 20:58:10","avery.iverson@contoso.com","Outlook",,"19:574f9479-234f-ad44-b0b9-36257c6b6e08@thread.v2","","","",""
"19-May-2026 22:48:08","logan.holloway@contoso.com","Copilot for M365 Chat",,"19:96e20ef2-a06c-4a4f-0aec-bb8ecdddaf43@thread.v2","","","",""
"20-May-2026 00:20:08","parker.radcliffe@contoso.com","Outlook",,"19:2204b870-8bf9-6690-59a4-2e739da2e60b@thread.v2","","","",""
"20-May-2026 01:44:16","parker.northrop@contoso.com","Word","SharePoint Online","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Meeting Notes.docx","Meeting Notes.docx","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Meeting Notes.docx","Read",""
"20-May-2026 03:26:47","robin.garrison@contoso.com","Teams","Teams Chat","https://teams.microsoft.com/l/chat/19:ac871429-3991-caf7-903c-d1da17480b36@unq.gbl.spaces?ctx=chat","","","",""
"20-May-2026 07:09:59","taylor.holloway@contoso.com","Copilot Studio Agent",,"19:88a4a6fb-209d-e599-a4cf-72be2960f50b@thread.v2","","","","benefitsHelper"
"20-May-2026 08:55:25","rowan.lockwood@contoso.com","PowerPoint","SharePoint Online","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Customer Briefing.pptx","Customer Briefing.pptx","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Customer Briefing.pptx","Read",""
"20-May-2026 11:46:55","taylor.thackeray@contoso.com","Excel","OneDrive for Business","https://contoso-my.sharepoint.com/personal/taylor_thackeray_contoso_com/Documents/Pipeline Tracker.xlsx","Pipeline Tracker.xlsx","https://contoso-my.sharepoint.com/personal/taylor_thackeray_contoso_com/Documents/Pipeline Tracker.xlsx","Read",""
"20-May-2026 13:45:24","finley.garrison@contoso.com","Teams","Teams Chat","https://teams.microsoft.com/l/chat/19:c20fbddc-93a4-74d2-ef02-7ff777c3c1cf@unq.gbl.spaces?ctx=chat","","","",""
"20-May-2026 15:14:22","devon.whitlock@contoso.com","Copilot for M365 Chat",,"19:38630154-2b3f-ac65-4fb3-428ced941f5b@thread.v2","Expense Summary.xlsx","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Expense Summary.xlsx","Read",""
"20-May-2026 15:35:03","kendall.underhill@contoso.com","Copilot for M365 Chat",,"19:70762580-c269-4252-8e3d-79030c9b9961@thread.v2","","","",""
"20-May-2026 15:37:00","robin.lockwood@contoso.com","Copilot Studio Agent",,"19:b7c7a602-b86e-9de9-4948-2387bebf9fd5@thread.v2","","","","benefitsHelper"
"20-May-2026 16:10:53","logan.holloway@contoso.com","Copilot for M365 Chat",,"19:f6182582-19c0-0499-16fe-dea20882daaa@thread.v2","","","",""
"20-May-2026 16:15:43","parker.garrison@contoso.com","Copilot for M365 Chat",,"19:4d5d0eb6-67e0-3416-e9bf-7e9063fc29a1@thread.v2","Status Update.pptx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Status Update.pptx","Read",""
"20-May-2026 16:27:32","taylor.lockwood@contoso.com","Excel","SharePoint Online","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Forecast.xlsx","Forecast.xlsx","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Forecast.xlsx","Read",""
"20-May-2026 17:22:05","taylor.holloway@contoso.com","Teams","Teams Chat","https://teams.microsoft.com/l/chat/19:1b0fbc11-ebda-d9f0-a55f-1fb588c0a8b2@unq.gbl.spaces?ctx=chat","","","",""
"20-May-2026 17:31:40","reese.calloway@contoso.com","Copilot Studio Agent",,"19:224968d9-d5cb-62a9-497a-57ca16182389@thread.v2","","","","itHelpdesk"
"20-May-2026 17:31:41","sawyer.whitlock@contoso.com","Copilot for M365 Chat",,"19:83a0f6de-155b-7a13-9a1f-1d1469943ef1@thread.v2","","","",""
"20-May-2026 18:36:57","emery.northrop@contoso.com","Teams","Teams Chat","https://teams.microsoft.com/l/chat/19:6393574f-09fb-11a8-f8af-65134967eda6@unq.gbl.spaces?ctx=chat","","","",""
"20-May-2026 19:29:53","skyler.sinclair@contoso.com","Copilot for M365 Chat",,"19:9b2de171-e55d-e9df-ea95-6dc334a80cff@thread.v2","Policy Draft.docx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Policy Draft.docx","Read",""
"20-May-2026 20:23:31","avery.underhill@contoso.com","Teams","Teams Chat","https://teams.microsoft.com/l/chat/19:bf6f9fa8-e795-5aaf-39b5-ad84e497444a@unq.gbl.spaces?ctx=chat","","","",""
"20-May-2026 20:26:54","skyler.ellison@contoso.com","Copilot for M365 Chat",,"19:17d9896b-451b-0c62-0594-882e23b4be81@thread.v2","Forecast.xlsx","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Forecast.xlsx","Read",""
"20-May-2026 22:46:10","logan.holloway@contoso.com","Copilot for M365 Chat",,"19:73441771-cb5a-eea5-f6c1-ee4a2ce29af6@thread.v2","Expense Summary.xlsx","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Expense Summary.xlsx","Read",""
"21-May-2026 01:18:37","avery.underhill@contoso.com","Word","SharePoint Online","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Policy Draft.docx","Policy Draft.docx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Policy Draft.docx","Read",""
"21-May-2026 08:56:15","parker.northrop@contoso.com","Copilot for M365 Chat",,"19:8df24f13-0428-8f15-3b08-3d8941a15c6a@thread.v2","","","",""
"21-May-2026 12:00:22","logan.holloway@contoso.com","Outlook",,"19:04f6214a-d32c-ed83-0eeb-219393007c67@thread.v2","","","",""
"21-May-2026 13:02:17","finley.oakley@contoso.com","Copilot for M365 Chat",,"19:fbcddfdc-ecf3-2f5a-ad4c-e6dcab8ad517@thread.v2","","","",""
"21-May-2026 13:42:54","morgan.merritt@contoso.com","Copilot for M365 Chat",,"19:50a76c37-f56e-bd5f-0de4-b489d0c13b36@thread.v2","","","",""
"21-May-2026 14:08:59","parker.radcliffe@contoso.com","Copilot for M365 Chat",,"19:0476de2e-8ac1-8f3a-e162-12bf11594ab5@thread.v2","","","",""
"21-May-2026 14:17:15","taylor.lockwood@contoso.com","Word","SharePoint Online","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Meeting Notes.docx","Meeting Notes.docx","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Meeting Notes.docx","Read",""
"21-May-2026 14:52:00","robin.lockwood@contoso.com","Outlook",,"19:6abd557a-fbf6-cda2-0357-771c68fc1abc@thread.v2","","","",""
"21-May-2026 15:40:00","parker.garrison@contoso.com","Copilot for M365 Chat",,"19:2d20d97c-cd79-cea4-a86f-3f6c392ae32d@thread.v2","","","",""
"21-May-2026 16:23:15","casey.calloway@contoso.com","Copilot for M365 Chat",,"19:dddd10bd-bd9d-90e1-b5a2-0838f0d9fa96@thread.v2","","","",""
"21-May-2026 16:34:39","taylor.holloway@contoso.com","Copilot for M365 Chat",,"19:5c0dae67-e2ee-086e-fd4f-a8c88ebd0a97@thread.v2","Headcount Plan.xlsx","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Headcount Plan.xlsx","Read",""
"21-May-2026 16:40:38","skyler.sinclair@contoso.com","Excel","OneDrive for Business","https://contoso-my.sharepoint.com/personal/skyler_sinclair_contoso_com/Documents/Headcount Plan.xlsx","Headcount Plan.xlsx","https://contoso-my.sharepoint.com/personal/skyler_sinclair_contoso_com/Documents/Headcount Plan.xlsx","Read",""
"21-May-2026 17:08:31","taylor.thackeray@contoso.com","Outlook",,"19:c0a8e2e4-48ad-d9ac-3e05-7f0289d5d3f2@thread.v2","","","",""
"21-May-2026 17:09:15","taylor.holloway@contoso.com","Copilot for M365 Chat",,"19:abfaa05f-13cf-b6e2-492a-8740d04c871e@thread.v2","","","",""
"21-May-2026 17:59:31","reese.calloway@contoso.com","Copilot for M365 Chat",,"19:537390cf-c83a-cc25-1e99-6c7981e97f83@thread.v2","Pipeline Tracker.xlsx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Pipeline Tracker.xlsx","Read",""
"21-May-2026 18:05:09","skyler.kingsley@contoso.com","Copilot Studio Agent",,"19:71b71f72-719b-27dd-0218-b15ffa0b62dd@thread.v2","","","","travelPolicy"
"21-May-2026 18:52:26","taylor.thackeray@contoso.com","Word","SharePoint Online","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Proposal.docx","Proposal.docx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Proposal.docx","Read",""
"21-May-2026 19:13:54","robin.garrison@contoso.com","Outlook",,"19:c9260179-8431-f5c1-7e6e-70d8e9009b88@thread.v2","","","",""
"21-May-2026 19:23:59","kendall.underhill@contoso.com","PowerPoint","SharePoint Online","https://contoso.sharepoint.com/sites/Executive/Shared Documents/Kickoff Deck.pptx","Kickoff Deck.pptx","https://contoso.sharepoint.com/sites/Executive/Shared Documents/Kickoff Deck.pptx","Read",""
"21-May-2026 20:11:17","finley.garrison@contoso.com","Outlook",,"19:43616d4f-5b12-4726-057d-414eedbe0f3b@thread.v2","","","",""
"21-May-2026 21:45:06","skyler.ellison@contoso.com","Outlook",,"19:fa389381-7a95-71bc-25bd-2034f305d097@thread.v2","","","",""
"22-May-2026 04:55:20","reese.calloway@contoso.com","Copilot for M365 Chat",,"19:27f10be2-95b8-cb70-6571-c4e5a1dc8421@thread.v2","","","",""
"22-May-2026 11:55:50","taylor.lockwood@contoso.com","Copilot for M365 Chat",,"19:e2121458-4559-25bc-b2c4-d98fa5f3fb32@thread.v2","","","",""
"22-May-2026 12:02:45","taylor.thackeray@contoso.com","Word","OneDrive for Business","https://contoso-my.sharepoint.com/personal/taylor_thackeray_contoso_com/Documents/Proposal.docx","Proposal.docx","https://contoso-my.sharepoint.com/personal/taylor_thackeray_contoso_com/Documents/Proposal.docx","Read",""
"22-May-2026 12:18:00","parker.garrison@contoso.com","Copilot for M365 Chat",,"19:b66fad51-69d8-ba71-9811-54ad802f6fc4@thread.v2","Expense Summary.xlsx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Expense Summary.xlsx","Read",""
"22-May-2026 13:09:38","rowan.lockwood@contoso.com","Teams","Teams meeting","https://teams.microsoft.com/l/meetup-join/19:meeting_ba76c423-8e2b-f406-ebcb-0d1f0522a84f@thread.v2","","","",""
"22-May-2026 14:17:07","casey.calloway@contoso.com","Excel","OneDrive for Business","https://contoso-my.sharepoint.com/personal/casey_calloway_contoso_com/Documents/FY26 Budget.xlsx","FY26 Budget.xlsx","https://contoso-my.sharepoint.com/personal/casey_calloway_contoso_com/Documents/FY26 Budget.xlsx","Read",""
"22-May-2026 14:45:15","parker.radcliffe@contoso.com","Teams","Teams meeting","https://teams.microsoft.com/l/meetup-join/19:meeting_5c322d6f-5827-4924-332c-744d57d6879a@thread.v2","","","",""
"22-May-2026 15:32:47","blake.prescott@contoso.com","Copilot for M365 Chat",,"19:e00a74fb-5528-1a02-dafc-0ef22f0e9e89@thread.v2","","","",""
"22-May-2026 15:35:03","kendall.underhill@contoso.com","Outlook",,"19:fa3b4c4e-9208-02f1-00c0-fd46c8206526@thread.v2","","","",""
"22-May-2026 15:46:02","avery.underhill@contoso.com","Copilot for M365 Chat",,"19:b199c550-84a1-5800-51be-c3f98dabe741@thread.v2","Town Hall.pptx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Town Hall.pptx","Read",""
"22-May-2026 16:05:32","finley.garrison@contoso.com","Copilot for M365 Chat",,"19:d1c897a1-c487-5ce7-9f08-0230efb90bd7@thread.v2","Forecast.xlsx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Forecast.xlsx","Read",""
"22-May-2026 16:11:26","skyler.kingsley@contoso.com","PowerPoint","SharePoint Online","https://contoso.sharepoint.com/sites/Legal/Shared Documents/Roadmap.pptx","Roadmap.pptx","https://contoso.sharepoint.com/sites/Legal/Shared Documents/Roadmap.pptx","Read",""
"22-May-2026 16:41:46","taylor.holloway@contoso.com","Outlook",,"19:16cfae5a-1864-d75f-dd30-a2c359199ee4@thread.v2","","","",""
"22-May-2026 17:21:03","logan.holloway@contoso.com","Copilot for M365 Chat",,"19:1ce0793c-27b6-9725-4388-96a1a7e11af8@thread.v2","Meeting Notes.docx","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/Meeting Notes.docx","Read",""
"22-May-2026 17:22:04","parker.northrop@contoso.com","Whiteboard",,"19:147eaa42-4f09-b9e3-673d-6348059f3416@thread.v2","","","",""
"22-May-2026 17:39:46","skyler.ellison@contoso.com","Copilot for M365 Chat",,"19:738200d7-e838-ab7e-b6e1-05309df85227@thread.v2","Quarterly Review.docx","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Quarterly Review.docx","Read",""
"22-May-2026 18:15:45","quinn.draper@contoso.com","Copilot for M365 Chat",,"19:eb15b6f4-ee45-2ad2-b03c-419022bc7593@thread.v2","","","",""
"22-May-2026 19:17:56","avery.iverson@contoso.com","Copilot for M365 Chat",,"19:2106f1d7-c5dc-ee27-24fb-f09391b147e8@thread.v2","","","",""
"22-May-2026 19:45:49","skyler.sinclair@contoso.com","Excel","SharePoint Online","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Pipeline Tracker.xlsx","Pipeline Tracker.xlsx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Pipeline Tracker.xlsx","Read",""
"22-May-2026 19:46:13","emery.northrop@contoso.com","Copilot for M365 Chat",,"19:73994a1e-f58f-ecb9-3644-b5a5b25f5a0a@thread.v2","","","",""
"22-May-2026 20:29:29","finley.oakley@contoso.com","Outlook",,"19:cca687d7-4b7c-9d8c-8561-82122a872d48@thread.v2","","","",""
"22-May-2026 23:35:38","taylor.holloway@contoso.com","Copilot for M365 Chat",,"19:b367444c-819c-c30b-c9ab-e2bc98e330c3@thread.v2","Project Plan.docx","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Project Plan.docx","Read",""
"23-May-2026 07:20:34","reese.calloway@contoso.com","Copilot for M365 Chat",,"19:84f53ccf-6c9d-267e-1180-62303624383b@thread.v2","","","",""
"23-May-2026 09:43:04","parker.radcliffe@contoso.com","Excel","SharePoint Online","https://contoso.sharepoint.com/sites/Legal/Shared Documents/Forecast.xlsx","Forecast.xlsx","https://contoso.sharepoint.com/sites/Legal/Shared Documents/Forecast.xlsx","Read",""
"23-May-2026 10:31:52","skyler.ellison@contoso.com","Outlook",,"19:a2be2808-95fc-0b34-7902-a852ce7940d2@thread.v2","","","",""
"23-May-2026 13:50:38","avery.underhill@contoso.com","Word","SharePoint Online","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Proposal.docx","Proposal.docx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Proposal.docx","Read",""
"23-May-2026 14:01:51","taylor.thackeray@contoso.com","Teams","Teams Chat","https://teams.microsoft.com/l/chat/19:88600705-55e3-fbbe-0ef4-45c9c1a76765@unq.gbl.spaces?ctx=chat","","","",""
"24-May-2026 17:53:42","finley.garrison@contoso.com","Outlook",,"19:db30618b-c366-826e-7617-92529fde04db@thread.v2","","","",""
"25-May-2026 02:23:02","emery.northrop@contoso.com","Copilot for M365 Chat",,"19:f4f29bd0-0987-512a-8173-2d7cd0611c3c@thread.v2","","","",""
"25-May-2026 10:51:24","finley.garrison@contoso.com","PowerPoint","SharePoint Online","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Status Update.pptx","Status Update.pptx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Status Update.pptx","Read",""
"25-May-2026 11:21:07","taylor.lockwood@contoso.com","Teams","Teams Channel","https://teams.microsoft.com/l/message/19:8a2ac0c4-d1f8-15c2-1d4b-7af87a341ea4@thread.tacv2?ctx=channel","","","",""
"25-May-2026 13:07:51","taylor.holloway@contoso.com","Teams","Teams Channel","https://teams.microsoft.com/l/message/19:663a29b6-c141-76c5-c1d6-e4edc207aca8@thread.tacv2?ctx=channel","","","",""
"25-May-2026 13:08:48","finley.oakley@contoso.com","Copilot for M365 Chat",,"19:b883b23a-f006-8645-da07-8fda6e48336b@thread.v2","Proposal.docx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Proposal.docx","Read",""
"25-May-2026 13:24:58","avery.underhill@contoso.com","Copilot for M365 Chat",,"19:9c745d49-dc9d-44e1-7b02-6a0caa2d567e@thread.v2","Project Plan.docx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Project Plan.docx","Read",""
"25-May-2026 14:09:19","skyler.ellison@contoso.com","Copilot for M365 Chat",,"19:bfa77b79-195e-04ea-c5c8-6cd1e3a60ac8@thread.v2","","","",""
"25-May-2026 14:16:09","logan.holloway@contoso.com","Excel","SharePoint Online","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/FY26 Budget.xlsx","FY26 Budget.xlsx","https://contoso.sharepoint.com/sites/Engineering/Shared Documents/FY26 Budget.xlsx","Read",""
"25-May-2026 14:36:42","reese.calloway@contoso.com","Word","SharePoint Online","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Quarterly Review.docx","Quarterly Review.docx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Quarterly Review.docx","Read",""
"25-May-2026 14:39:14","parker.radcliffe@contoso.com","Excel","SharePoint Online","https://contoso.sharepoint.com/sites/Legal/Shared Documents/Pipeline Tracker.xlsx","Pipeline Tracker.xlsx","https://contoso.sharepoint.com/sites/Legal/Shared Documents/Pipeline Tracker.xlsx","Read",""
"25-May-2026 15:05:11","skyler.sinclair@contoso.com","Teams","Teams meeting","https://teams.microsoft.com/l/meetup-join/19:meeting_d247f569-048e-3f7e-2c5d-4b1dd969a196@thread.v2","","","",""
"25-May-2026 15:13:48","taylor.thackeray@contoso.com","Teams","Teams Channel","https://teams.microsoft.com/l/message/19:d5f9630e-747d-6ee3-b15b-4acc703ea9da@thread.tacv2?ctx=channel","","","",""
"25-May-2026 17:08:44","parker.garrison@contoso.com","Copilot for M365 Chat",,"19:5a70b57a-0163-a170-0d93-29e4db46b73a@thread.v2","Town Hall.pptx","https://contoso.sharepoint.com/sites/Finance/Shared Documents/Town Hall.pptx","Read",""
"25-May-2026 17:21:46","blake.prescott@contoso.com","Copilot for M365 Chat",,"19:c1e6a7d8-61e9-7764-ba6a-0798de3af169@thread.v2","Project Plan.docx","https://contoso.sharepoint.com/sites/Operations/Shared Documents/Project Plan.docx","Read",""
"25-May-2026 17:23:51","parker.northrop@contoso.com","Copilot for M365 Chat",,"19:8ae24e5b-820e-9c53-57d0-3999ab50f769@thread.v2","","","",""
"25-May-2026 19:19:28","robin.lockwood@contoso.com","Copilot for M365 Chat",,"19:abc10b35-0377-585c-f419-92e8b6ecc76b@thread.v2","","","",""
"25-May-2026 20:10:46","taylor.holloway@contoso.com","Copilot for M365 Chat",,"19:47ebd9e2-78de-7295-754e-68bca5d6246b@thread.v2","Quarterly Review.docx","https://contoso.sharepoint.com/sites/Sales/Shared Documents/Quarterly Review.docx","Read",""
"25-May-2026 21:29:40","devon.whitlock@contoso.com","Teams","Teams Channel","https://teams.microsoft.com/l/message/19:9adc084c-62ff-ac1d-ba4f-abceeee940f3@thread.tacv2?ctx=channel","","","",""
"25-May-2026 23:36:09","taylor.thackeray@contoso.com","Outlook",,"19:6cbdfbba-448f-2d5e-228b-40112c0acd8e@thread.v2","","","",""
